	SampleID	Phylum	RA	Comparts	TreatmentID	Treatment
72	Bulk2	Low_Abundance	2.52293578	Bulk_soil	Xs2	Xs
73	Bulk3	Gammaproteobacteria	4.357798165	Bulk_soil	Xs3	Xs
74	Bulk3	Betaproteobacteria	16.97247706	Bulk_soil	Xs3	Xs
75	Bulk3	Actinobacteria	30.16055046	Bulk_soil	Xs3	Xs
76	Bulk3	Alphaproteobacteria	17.66055046	Bulk_soil	Xs3	Xs
77	Bulk3	Deltaproteobacteria	12.0412844	Bulk_soil	Xs3	Xs
78	Bulk3	Gemmatimonadetes	3.325688073	Bulk_soil	Xs3	Xs
79	Bulk3	Firmicutes	10.20642202	Bulk_soil	Xs3	Xs
80	Bulk3	Bacteroidetes	3.211009174	Bulk_soil	Xs3	Xs
81	Bulk3	Acidobacteria	0.229357798	Bulk_soil	Xs3	Xs
82	Bulk3	Ignavibacteriae	0.573394495	Bulk_soil	Xs3	Xs
83	Bulk3	Nitrospirae	0.114678899	Bulk_soil	Xs3	Xs
84	Bulk3	Low_Abundance	1.146788991	Bulk_soil	Xs3	Xs
85	Bulk4	Gammaproteobacteria	7.339449541	Bulk_soil	Xs4	Xs
86	Bulk4	Betaproteobacteria	14.67889908	Bulk_soil	Xs4	Xs
87	Bulk4	Actinobacteria	28.78440367	Bulk_soil	Xs4	Xs
88	Bulk4	Alphaproteobacteria	17.08715596	Bulk_soil	Xs4	Xs
89	Bulk4	Deltaproteobacteria	12.9587156	Bulk_soil	Xs4	Xs
90	Bulk4	Gemmatimonadetes	2.637614679	Bulk_soil	Xs4	Xs
91	Bulk4	Firmicutes	11.12385321	Bulk_soil	Xs4	Xs
92	Bulk4	Bacteroidetes	1.834862385	Bulk_soil	Xs4	Xs
93	Bulk4	Acidobacteria	0.114678899	Bulk_soil	Xs4	Xs
94	Bulk4	Ignavibacteriae	0.458715596	Bulk_soil	Xs4	Xs
95	Bulk4	Nitrospirae	1.146788991	Bulk_soil	Xs4	Xs
96	Bulk4	Low_Abundance	1.834862385	Bulk_soil	Xs4	Xs
97	ELbC1	Gammaproteobacteria	5.733944954	Seed_endosphere	CK1	CK
98	ELbC1	Betaproteobacteria	13.30275229	Seed_endosphere	CK1	CK
99	ELbC1	Actinobacteria	24.8853211	Seed_endosphere	CK1	CK
100	ELbC1	Alphaproteobacteria	21.44495413	Seed_endosphere	CK1	CK
101	ELbC1	Deltaproteobacteria	11.23853211	Seed_endosphere	CK1	CK
102	ELbC1	Gemmatimonadetes	0.917431193	Seed_endosphere	CK1	CK
103	ELbC1	Firmicutes	12.5	Seed_endosphere	CK1	CK
104	ELbC1	Bacteroidetes	1.834862385	Seed_endosphere	CK1	CK
105	ELbC1	Acidobacteria	0.344036697	Seed_endosphere	CK1	CK
106	ELbC1	Ignavibacteriae	0.344036697	Seed_endosphere	CK1	CK
107	ELbC1	Nitrospirae	3.096330275	Seed_endosphere	CK1	CK
108	ELbC1	Low_Abundance	4.357798165	Seed_endosphere	CK1	CK
109	ELbC2	Gammaproteobacteria	11.81192661	Seed_endosphere	CK2	CK
110	ELbC2	Betaproteobacteria	14.67889908	Seed_endosphere	CK2	CK
111	ELbC2	Actinobacteria	70.52752294	Seed_endosphere	CK2	CK
112	ELbC2	Alphaproteobacteria	2.408256881	Seed_endosphere	CK2	CK
113	ELbC2	Deltaproteobacteria	0	Seed_endosphere	CK2	CK
114	ELbC2	Gemmatimonadetes	0	Seed_endosphere	CK2	CK
115	ELbC2	Firmicutes	0.458715596	Seed_endosphere	CK2	CK
116	ELbC2	Bacteroidetes	0	Seed_endosphere	CK2	CK
117	ELbC2	Acidobacteria	0.114678899	Seed_endosphere	CK2	CK
118	ELbC2	Ignavibacteriae	0	Seed_endosphere	CK2	CK
119	ELbC2	Nitrospirae	0	Seed_endosphere	CK2	CK
120	ELbC2	Low_Abundance	0	Seed_endosphere	CK2	CK
121	ELbC3	Gammaproteobacteria	30.16055046	Seed_endosphere	CK3	CK
122	ELbC3	Betaproteobacteria	17.20183486	Seed_endosphere	CK3	CK
123	ELbC3	Actinobacteria	49.31192661	Seed_endosphere	CK3	CK
124	ELbC3	Alphaproteobacteria	2.064220183	Seed_endosphere	CK3	CK
125	ELbC3	Deltaproteobacteria	0.114678899	Seed_endosphere	CK3	CK
126	ELbC3	Gemmatimonadetes	0	Seed_endosphere	CK3	CK
127	ELbC3	Firmicutes	0.917431193	Seed_endosphere	CK3	CK
128	ELbC3	Bacteroidetes	0.229357798	Seed_endosphere	CK3	CK
129	ELbC3	Acidobacteria	0	Seed_endosphere	CK3	CK
130	ELbC3	Ignavibacteriae	0	Seed_endosphere	CK3	CK
131	ELbC3	Nitrospirae	0	Seed_endosphere	CK3	CK
132	ELbC3	Low_Abundance	0	Seed_endosphere	CK3	CK
133	ELbC4	Gammaproteobacteria	39.22018349	Seed_endosphere	CK4	CK
134	ELbC4	Betaproteobacteria	19.72477064	Seed_endosphere	CK4	CK
135	ELbC4	Actinobacteria	29.93119266	Seed_endosphere	CK4	CK
136	ELbC4	Alphaproteobacteria	5.389908257	Seed_endosphere	CK4	CK
137	ELbC4	Deltaproteobacteria	0	Seed_endosphere	CK4	CK
138	ELbC4	Gemmatimonadetes	0	Seed_endosphere	CK4	CK
139	ELbC4	Firmicutes	4.587155963	Seed_endosphere	CK4	CK
140	ELbC4	Bacteroidetes	0.458715596	Seed_endosphere	CK4	CK
141	ELbC4	Acidobacteria	0	Seed_endosphere	CK4	CK
142	ELbC4	Ignavibacteriae	0	Seed_endosphere	CK4	CK
143	ELbC4	Nitrospirae	0	Seed_endosphere	CK4	CK
144	ELbC4	Low_Abundance	0.688073394	Seed_endosphere	CK4	CK
145	ELbC5	Gammaproteobacteria	43.23394495	Seed_endosphere	CK5	CK
146	ELbC5	Betaproteobacteria	9.403669725	Seed_endosphere	CK5	CK
147	ELbC5	Actinobacteria	45.06880734	Seed_endosphere	CK5	CK
148	ELbC5	Alphaproteobacteria	2.064220183	Seed_endosphere	CK5	CK
149	ELbC5	Deltaproteobacteria	0	Seed_endosphere	CK5	CK
150	ELbC5	Gemmatimonadetes	0.114678899	Seed_endosphere	CK5	CK
151	ELbC5	Firmicutes	0	Seed_endosphere	CK5	CK
152	ELbC5	Bacteroidetes	0.114678899	Seed_endosphere	CK5	CK
153	ELbC5	Acidobacteria	0	Seed_endosphere	CK5	CK
154	ELbC5	Ignavibacteriae	0	Seed_endosphere	CK5	CK
155	ELbC5	Nitrospirae	0	Seed_endosphere	CK5	CK
156	ELbC5	Low_Abundance	0	Seed_endosphere	CK5	CK
157	ELbC6	Gammaproteobacteria	22.82110092	Seed_endosphere	CK6	CK
158	ELbC6	Betaproteobacteria	6.30733945	Seed_endosphere	CK6	CK
159	ELbC6	Actinobacteria	63.0733945	Seed_endosphere	CK6	CK
160	ELbC6	Alphaproteobacteria	7.568807339	Seed_endosphere	CK6	CK
161	ELbC6	Deltaproteobacteria	0	Seed_endosphere	CK6	CK
162	ELbC6	Gemmatimonadetes	0	Seed_endosphere	CK6	CK
163	ELbC6	Firmicutes	0.114678899	Seed_endosphere	CK6	CK
164	ELbC6	Bacteroidetes	0.114678899	Seed_endosphere	CK6	CK
165	ELbC6	Acidobacteria	0	Seed_endosphere	CK6	CK
166	ELbC6	Ignavibacteriae	0	Seed_endosphere	CK6	CK
167	ELbC6	Nitrospirae	0	Seed_endosphere	CK6	CK
168	ELbC6	Low_Abundance	0	Seed_endosphere	CK6	CK
169	ExsC1	Gammaproteobacteria	19.49541284	Seed_endosphere	Xs1	Xs
170	ExsC1	Betaproteobacteria	16.97247706	Seed_endosphere	Xs1	Xs
171	ExsC1	Actinobacteria	59.51834862	Seed_endosphere	Xs1	Xs
172	ExsC1	Alphaproteobacteria	3.555045872	Seed_endosphere	Xs1	Xs
