diff	lwr	upr	p adj
CK_y-CK_c	1.6531491465	0.619732831387529	2.68656546161247	0.000298190722233027
Xs_f-CK_y	-1.6280256015	-2.78342016632441	-0.472631036675585	0.00165925161529334
CK_y-CK_m	1.602809353	0.447414788175585	2.75820391782441	0.00201358020297382
Xs_c-CK_y	-1.3905582305	-2.42397454561247	-0.357141915387528	0.00290619128456882
Xs_y-CK_c	1.16148005866667	0.128063743554196	2.19489637377914	0.0190026695241096
Xs_y-Xs_f	1.13635651366667	-0.0190380511577477	2.29175107849108	0.0565190326046392
Xs_y-CK_m	1.11114026516667	-0.0442542996577484	2.26653482999108	0.0663134826044547
CK_f-CK_c	1.1076781415	-0.0477164233244158	2.26307270632441	0.0677689863403267
Xs_y-Xs_c	0.898889142666667	-0.134527172445805	1.93230545777914	0.125504630559828
Xs_f-CK_f	-1.0825545965	-2.34822592844639	0.183116735446395	0.138016199588442
Xs_m-CK_c	1.0809224985	-0.184748833446393	2.34659383044639	0.1391760578624
CK_m-CK_f	-1.057338348	-2.32300967994639	0.208332983946396	0.156828886810198
Xs_m-Xs_f	1.0557989535	-0.31128233179218	2.42288023879218	0.229802659631751
Xs_m-CK_m	1.030582705	-0.33649858029218	2.39766399029218	0.255177462274032
Xs_c-CK_f	-0.845087225499998	-2.00048179032441	0.310307339324416	0.288526754448266
Xs_m-Xs_c	0.818331582499999	-0.447339749446394	2.08400291444639	0.437519354955962
Xs_y-CK_y	-0.491669087833333	-1.5250854029458	0.541747227279138	0.77785610029924
CK_y-CK_f	0.545471005000001	-0.609923559824413	1.70086556982442	0.784313882702035
Xs_m-CK_y	-0.572226648	-1.83789797994639	0.693444683946393	0.818088566867638
Xs_c-CK_c	0.262590916	-0.770825399112471	1.29600723111247	0.990256036926833
Xs_f-Xs_c	-0.237467371	-1.39286193582441	0.917927193824414	0.997316077919721
Xs_c-CK_m	0.212251122499999	-0.943143442324415	1.36764568732441	0.998680267087739
Xs_y-Xs_m	0.080557560166667	-1.18511377177973	1.34622889211306	0.999998961239135
Xs_y-CK_f	0.0538019171666684	-1.10159264765775	1.20919648199108	0.999999881379854
CK_m-CK_c	0.050339793500001	-1.10505477132441	1.20573435832442	0.999999925345511
Xs_f-CK_c	0.0251235450000002	-1.13027101982441	1.18051810982441	0.99999999941649
Xs_f-CK_m	-0.0252162485000007	-1.29088758044639	1.24045508344639	0.999999999683478
Xs_m-CK_f	-0.0267556429999987	-1.39383692829218	1.34032564229218	0.999999999720558
